dot_values,colour_values,participant,.thisRepN,.thisTrialN,.thisN,.thisIndex,response,response_time,date,
7.0,Brown,112,0,354,354,354,m,0.3589220047,2016_Jul_15_1138,
3.0,Purple,112,0,355,355,355,m,0.398915052414,2016_Jul_15_1138,
1.0,Orange,112,0,356,356,356,m,0.407056093216,2016_Jul_15_1138,
nan,nan,112,0,357,357,357,z,0.470679998398,2016_Jul_15_1138,
8.0,DarkGray,112,0,358,358,358,m,0.350922107697,2016_Jul_15_1138,
nan,nan,112,0,359,359,359,m,0.247122049332,2016_Jul_15_1138,
6.0,Blue,112,0,360,360,360,m,0.519003152847,2016_Jul_15_1138,
9.0,Red,112,0,361,361,361,m,0.406987190247,2016_Jul_15_1138,
nan,nan,112,0,362,362,362,,,2016_Jul_15_1138,
2.0,Green,112,0,363,363,363,,,2016_Jul_15_1138,
nan,nan,112,0,364,364,364,z,0.447026014328,2016_Jul_15_1138,
4.0,Yellow,112,0,365,365,365,m,0.21488904953,2016_Jul_15_1138,
1.0,LightPink,112,0,366,366,366,m,0.238728046417,2016_Jul_15_1138,
8.0,Brown,112,0,367,367,367,m,0.247028827667,2016_Jul_15_1138,
6.0,Purple,112,0,368,368,368,m,0.23876786232,2016_Jul_15_1138,
5.0,Orange,112,0,369,369,369,m,0.190652132034,2016_Jul_15_1138,
7.0,DarkGray,112,0,370,370,370,m,0.118857145309,2016_Jul_15_1138,
3.0,Blue,112,0,371,371,371,m,0.126750946045,2016_Jul_15_1138,
9.0,Red,112,0,372,372,372,m,0.246742963791,2016_Jul_15_1138,
nan,nan,112,0,373,373,373,z,0.422658920288,2016_Jul_15_1138,
2.0,Green,112,0,374,374,374,m,0.246606111526,2016_Jul_15_1138,
4.0,Purple,112,0,375,375,375,m,0.222422838211,2016_Jul_15_1138,
5.0,Orange,112,0,376,376,376,m,0.206568002701,2016_Jul_15_1138,
7.0,DarkGray,112,0,377,377,377,m,0.230746030807,2016_Jul_15_1138,
3.0,Blue,112,0,378,378,378,m,0.198829889297,2016_Jul_15_1138,
9.0,Red,112,0,379,379,379,m,0.0866639614105,2016_Jul_15_1138,
2.0,Green,112,0,380,380,380,m,0.198436021805,2016_Jul_15_1138,
4.0,Purple,112,0,381,381,381,m,0.214386940002,2016_Jul_15_1138,
5.0,Orange,112,0,382,382,382,m,0.174562931061,2016_Jul_15_1138,
7.0,DarkGray,112,0,383,383,383,m,0.254708051682,2016_Jul_15_1138,
nan,nan,112,0,384,384,384,z,0.414600849152,2016_Jul_15_1138,
3.0,Blue,112,0,385,385,385,m,0.310523033142,2016_Jul_15_1138,
nan,nan,112,0,386,386,386,m,0.238497972488,2016_Jul_15_1138,
1.0,Red,112,0,387,387,387,m,0.406294107437,2016_Jul_15_1138,
nan,nan,112,0,388,388,388,z,0.438687086105,2016_Jul_15_1138,
8.0,Green,112,0,389,389,389,m,0.342375993729,2016_Jul_15_1138,
6.0,Purple,112,0,390,390,390,m,0.262503862381,2016_Jul_15_1138,
9.0,Orange,112,0,391,391,391,m,0.238508939743,2016_Jul_15_1138,
2.0,DarkGray,112,0,392,392,392,m,0.30246090889,2016_Jul_15_1138,
4.0,Blue,112,0,393,393,393,m,0.302587985992,2016_Jul_15_1138,
1.0,Red,112,0,394,394,394,m,0.286466836929,2016_Jul_15_1138,
8.0,Green,112,0,395,395,395,m,0.286505222321,2016_Jul_15_1138,
6.0,Yellow,112,0,396,396,396,m,0.366126060486,2016_Jul_15_1138,
5.0,LightPink,112,0,397,397,397,m,0.374485015869,2016_Jul_15_1138,
7.0,Brown,112,0,398,398,398,m,0.422435045242,2016_Jul_15_1138,
3.0,Purple,112,0,399,399,399,m,0.438276052475,2016_Jul_15_1138,
9.0,Orange,112,0,400,400,400,m,0.454348087311,2016_Jul_15_1138,
2.0,DarkGray,112,0,401,401,401,m,0.438194990158,2016_Jul_15_1138,
4.0,Blue,112,0,402,402,402,m,0.398209095001,2016_Jul_15_1138,
1.0,Red,112,0,403,403,403,m,0.414309978485,2016_Jul_15_1138,
8.0,Green,112,0,404,404,404,m,0.406375169754,2016_Jul_15_1138,
6.0,Yellow,112,0,405,405,405,m,0.398262023926,2016_Jul_15_1138,
nan,nan,112,0,406,406,406,z,0.454348087311,2016_Jul_15_1138,
9.0,LightPink,112,0,407,407,407,m,0.374290943146,2016_Jul_15_1138,
2.0,Brown,112,0,408,408,408,m,0.342271089554,2016_Jul_15_1138,
4.0,Blue,112,0,409,409,409,m,0.27020907402,2016_Jul_15_1138,
1.0,Red,112,0,410,410,410,m,0.270267009735,2016_Jul_15_1138,
8.0,Green,112,0,411,411,411,m,0.269889116287,2016_Jul_15_1138,
6.0,Yellow,112,0,412,412,412,m,0.278076887131,2016_Jul_15_1138,
5.0,LightPink,112,0,413,413,413,m,0.318078041077,2016_Jul_15_1138,
7.0,Brown,112,0,414,414,414,m,0.326019048691,2016_Jul_15_1138,
3.0,Blue,112,0,415,415,415,m,0.357863903046,2016_Jul_15_1138,
1.0,Red,112,0,416,416,416,m,0.406079053879,2016_Jul_15_1138,
8.0,Green,112,0,417,417,417,m,0.374191999435,2016_Jul_15_1138,
6.0,Purple,112,0,418,418,418,m,0.309970855713,2016_Jul_15_1138,
nan,nan,112,0,419,419,419,z,0.429951906204,2016_Jul_15_1138,
5.0,Orange,112,0,420,420,420,m,0.286057949066,2016_Jul_15_1138,
7.0,DarkGray,112,0,421,421,421,m,0.278057098389,2016_Jul_15_1138,
nan,nan,112,0,422,422,422,m,0.22979593277,2016_Jul_15_1138,
3.0,Blue,112,0,423,423,423,m,0.36601805687,2016_Jul_15_1138,
9.0,Red,112,0,424,424,424,m,0.293982028961,2016_Jul_15_1138,
2.0,Green,112,0,425,425,425,m,0.293823957443,2016_Jul_15_1138,
4.0,Purple,112,0,426,426,426,m,0.205765962601,2016_Jul_15_1138,
1.0,Orange,112,0,427,427,427,m,0.237892866135,2016_Jul_15_1138,
8.0,DarkGray,112,0,428,428,428,m,0.261683940887,2016_Jul_15_1138,
6.0,Blue,112,0,429,429,429,m,0.365813970566,2016_Jul_15_1138,
9.0,Red,112,0,430,430,430,m,0.374050855637,2016_Jul_15_1138,
2.0,Green,112,0,431,431,431,m,0.389967918396,2016_Jul_15_1138,
4.0,Yellow,112,0,432,432,432,m,0.365924119949,2016_Jul_15_1138,
1.0,LightPink,112,0,433,433,433,m,0.40561413765,2016_Jul_15_1138,
8.0,Brown,112,0,434,434,434,m,0.381640195847,2016_Jul_15_1138,
6.0,Blue,112,0,435,435,435,m,0.365999937057,2016_Jul_15_1138,
5.0,Red,112,0,436,436,436,m,0.341818094254,2016_Jul_15_1138,
7.0,Green,112,0,437,437,437,m,0.357456922531,2016_Jul_15_1138,
3.0,Purple,112,0,438,438,438,m,0.333487033844,2016_Jul_15_1138,
nan,nan,112,0,439,439,439,z,0.461636066437,2016_Jul_15_1138,
9.0,Orange,112,0,440,440,440,m,0.325493097305,2016_Jul_15_1138,
2.0,DarkGray,112,0,441,441,441,m,0.293682813644,2016_Jul_15_1138,
4.0,Yellow,112,0,442,442,442,m,0.285588026047,2016_Jul_15_1138,
5.0,LightPink,112,0,443,443,443,m,0.317788124084,2016_Jul_15_1138,
7.0,Brown,112,0,444,444,444,m,0.341608047485,2016_Jul_15_1138,
3.0,Purple,112,0,445,445,445,m,0.357428073883,2016_Jul_15_1138,
9.0,Orange,112,0,446,446,446,m,0.397513866425,2016_Jul_15_1138,
2.0,DarkGray,112,0,447,447,447,m,0.413335084915,2016_Jul_15_1138,
4.0,nan,112,0,448,448,448,m,0.469563007355,2016_Jul_15_1138,
