dot_values,colour_values,participant,response,response_time,date,correct_response,answered_correctly
3.0,Blue,110,m,0.26885008812,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.236865997314,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.188652992249,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.0768461227417,2016_Aug_16_1429,m,1
9.0,LightPink,110,m,0.0606198310852,2016_Aug_16_1429,m,1
2.0,Brown,110,m,0.116574048996,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.100818872452,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.028746843338,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.0446200370789,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.0764689445496,2016_Aug_16_1429,m,1
1.0,LightPink,110,,,2016_Aug_16_1429,m,0
,,110,z,0.564464092255,2016_Aug_16_1429,z,1
8.0,Brown,110,m,0.220544099808,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.132750988007,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.404615879059,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.180483102798,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.356688976288,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.0287828445435,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.324303865433,2016_Aug_16_1429,m,1
6.0,Blue,110,,,2016_Aug_16_1429,m,0
9.0,Red,110,,,2016_Aug_16_1429,m,0
2.0,Green,110,m,0.404152870178,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.24446606636,2016_Aug_16_1429,m,1
5.0,Orange,110,m,0.164568901062,2016_Aug_16_1429,m,1
,,110,m,0.132475137711,2016_Aug_16_1429,z,0
7.0,DarkGray,110,m,0.388151884079,2016_Aug_16_1429,m,1
3.0,Yellow,110,m,0.292249917984,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.284225940704,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.220144033432,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.0922758579254,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.0604908466339,2016_Aug_16_1429,m,1
7.0,Green,110,m,0.0764691829681,2016_Aug_16_1429,m,1
3.0,Purple,110,m,0.108222961426,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.260484933853,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.244225025177,2016_Aug_16_1429,m,1
6.0,Yellow,110,m,0.284169197083,2016_Aug_16_1429,m,1
5.0,LightPink,110,m,0.16438293457,2016_Aug_16_1429,m,1
,,110,m,0.10812997818,2016_Aug_16_1429,z,0
7.0,Brown,110,m,0.307961940765,2016_Aug_16_1429,m,1
3.0,Blue,110,m,0.308123826981,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.308019161224,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.140092849731,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.0602750778198,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.564080953598,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.468223810196,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.332029104233,2016_Aug_16_1429,m,1
